,number,ca,name,material,location,culture,time,img
37,38,0,"Archers Pursuing Enemies, Lion Hunt",gypsum  ,Iraq,Assyrian,720 BCE,https://o.quizlet.com/f5lllK9vCOi-PB1lTPK7DQ.jpg
38,39,0,Kouros,marble,Greece,Archaic Greek,600 BCE,https://images.metmuseum.org/CRDImages/gr/original/DT263.jpg
39,40,2,Athenian agora,plan,"Athens, Greece",Archaic through Hellenistic Greek,600 BCE,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/General_plan_of_the_Agora_in_the_2nd_century_A.D.jpg/500px-General_plan_of_the_Agora_in_the_2nd_century_A.D.jpg
40,41,2,Anavysos Kouros,marble with remnants of paint,"Attica, Greece",Archaic Greek,530 BCE,https://upload.wikimedia.org/wikipedia/commons/e/ea/Kouros_anavissos.jpg
41,42,2,Peplos Kore from the Acropolis,"marble, painted details","Athens, Greece",Archaic Greek,530 BCE,https://theacropolismuseum.gr/sites/default/files/2020-12/7782_1.jpg
42,43,2,Sarcophagus of the Spouses,terra cotta  ,"Cerveteri, Italy",Etruscan,520 BCE,https://upload.wikimedia.org/wikipedia/commons/c/cf/Sarcophagus_of_the_Spouses_from_Villa_Giulia_in_Rome.jpg
43,44,2,Audience Hall of Darius and Xerxes,limestone,"Persepolis, Iran",Persian,520 BCE,https://sites.google.com/site/adairarthistory/_/rsrc/1476054355426/ii-ancient-mediterranean/30-audience-hall-apadana-of-darius-and-xeres/45b63dc24ddda16e4569b1e0e590ff598be19429.jpg
44,45,2,Temple of Minerva and sculpture of Apollo ,"original temple of wood, mud brick, or tufa; terra cotta sculpture","Assissi, Italy",Etruscan,510 BCE,https://smarthistory.org/wp-content/uploads/2022/01/16748027571_e13b03d88a_k.jpg
45,46,0,Temple of Aphaia,marble,"Aegina, Greece",Archaic Greek,500 BCE,https://upload.wikimedia.org/wikipedia/commons/9/90/Aegina_-_Temple_of_Aphaia_03.jpg
46,47,2,Tomb of the Triclinium,tufa and fresco,"Tarquinia, Italy",Etruscan,480 BCE,https://upload.wikimedia.org/wikipedia/commons/f/ff/Pittore_forse_attico%2C_affreschi_della_tomba_del_triclinio%2C_500-475_ac_ca%2C_01.jpg
47,48,2,Niobides Krater,"clay, red-figure technique (white highlights)","Orvieto, Italy",Classical Greek,460 BCE,https://sites.google.com/site/adairarthistory/_/rsrc/1476919012271/ii-ancient-mediterranean/33-niobides-krater/Screen%20Shot%202016-10-19%20at%207.16.31%20PM.png
48,49,0,"Diskobolos, Myron",Roman copy (marble) of Greek original (bronze),"Rome, Italy",Classical Greek,450 BCE,https://media.britishmuseum.org/media/Repository/Documents/2014_10/6_8/14e72733_cc42_46e7_a996_a3bc00932d94/mid_00396999_001.jpg
49,50,2,"Doryphoros, Polykleitos",Roman copy (marble) of Greek original (bronze),"Pompeii, Italy",Classical Greek,450 BCE,https://upload.wikimedia.org/wikipedia/commons/b/b5/Doryphoros_MAN_Napoli_Inv6011-2.jpg
50,51,2,"Acropolis, Iktinos and Kallikrates",marble,"Athens, Greece",Classical Greek,447 BCE,https://i.ytimg.com/vi/tWDflkBZC6U/maxresdefault.jpg
51,52,2,"Grave stele of Hegeso, Kallimachos",marble and paint,"Athens, Greece",Classical Greek,410 BCE,https://sites.google.com/site/adairarthistory/_/rsrc/1476762625935/ii-ancient-mediterranean/36-grave-stele-of-hegeso/hegeso_stele.jpg
52,53,7,Treasury and Great Temple,cut rock,"Petra, Jordan",Nabatean people,400 BCE,https://brewminate.com/wp-content/uploads/2018/11/110118-33-History-Archaeology-Petra-Jordan.jpg
53,54,0,"Aphrodite of Knidos, Praxiteles",roman marble copy of a Greek bronze original,"Knidos, Greece",Classical Greek,350 BCE,https://upload.wikimedia.org/wikipedia/commons/9/9a/Cnidus_Aphrodite_Altemps_Inv8619.jpg
54,55,8,Great Stupa at Sanchi,"stone masonry, sandstone on dome","Madhya Pradesh, India ","Maurya, late Sunga Dynasty",300 BCE,https://cdn.britannica.com/36/155836-050-89E7AA9E/Great-Stupa-Sanchi-India.jpg
55,56,8,Terra cotta warriors from the mausoleum of the first Qin emperor of China,painted terra cotta,"Mount Li, China",Qin Dynasty,221 BCE,https://cdn.kastatic.org/ka-perseus-images/400266d2fadd0b912613980c636ea47a666947e5.jpg
56,57,2,Cerveteri Necropolis,multi-chambered rock cut underground tombs covered by earthen mounds,"Cerveteri, Italy",Etruscan,200 BCE,https://upload.wikimedia.org/wikipedia/commons/4/48/2010-08-13_Cerveteri_Necropoli_Banditaccia_100_0359_Ingresso_2.jpg
57,58,8,Funeral banner of Lady Dai,painted silk,"Changsha, China",Han Dynasty,180 BCE,https://cdn.kastatic.org/ka-perseus-images/9aee5797b4a4dc7ffd551739de62ffab7aed18e3.jpg
58,59,2,Winged Victory of Samothrace,marble,"Samothrace, Greece",Hellenistic Greek,175 BCE,https://upload.wikimedia.org/wikipedia/commons/5/57/Victoire_de_Samothrace_-_vue_de_trois-quart_gauche%2C_gros_plan_de_la_statue_%282%29.JPG
59,60,2,Great Altar of Zeus and Athena at Pergamon,marble,"Asia minor, modern Turkey",Hellenistic Greek,175 BCE,https://cdn.kastatic.org/ka-youtube-converted/L3SIooVHV8E.mp4/L3SIooVHV8E.png
60,61,0,Venus de Milo,marble,Greece,Hellenistic Greek,150 BCE,https://cdn.britannica.com/02/222202-050-40E1A83B/Statue-of-Venus-de-Milo-Louvre-Paris-France.jpg
61,62,2,Alexander Mosaic from the House of Faun ,mosaic,"Pompeii, Italy",Republican Roman,100 BCE,https://upload.wikimedia.org/wikipedia/commons/6/69/Battle_of_Issus_mosaic_-_Museo_Archeologico_Nazionale_-_Naples_2013-05-16_16-25-06_BW.jpg
62,63,2,Seated Boxer,bronze,"Rome, Italy",Hellenistic Greek,100 BCE,https://scholarexchange.furman.edu/context/art231/article/1053/type/native/viewcontent
63,64,2,Head of a Roman patrician,marble,"Rome, Italy",Republican Roman,75 BCE,https://cdn.kastatic.org/ka-perseus-images/81052d10455a11df578ec688caf8dfd47a6b7d69.jpg
64,65,2,House of the Vettii,cut stone and fresco,"Pompeii, Italy",Imperial Roman,62 BCE,https://cdn.kastatic.org/ka-perseus-images/f67fdcc665bf4fb339cd2a90dbe04cbb1609cc5b.jpg
65,66,0,Villa of Pulbius Fannius Synistor,fresco,"Pompeii, Italy",Republican Roman,50 BCE,https://collectionapi.metmuseum.org/api/collection/v1/iiif/247017/536525/main-image
66,67,0,Laocoon and sons,marble,"Rome, Italy",Hellenistic Greek,1 BCE,https://static.nationalgeographic.co.uk/files/styles/image_3200/public/lagoon-main.jpg?w=400&h=400&p=top&q=75
67,68,2,Augustus of  Prima Porta,marble,"Rome, Italy",Imperial Roman,5 CE,https://smarthistory.org/wp-content/uploads/2020/10/primaporta-tall.jpg
68,69,2,Colosseum (Flavian Amphitheater),stone and concrete,"Rome, Italy",Imperial Roman,70 CE,https://sites.google.com/site/adairarthistory/_/rsrc/1477515561973/ii-ancient-mediterranean/44-colosseum-flavian-amphitheater/106741-004-E0EE8460.jpg?height=264&width=400
69,70,2,"Forum of Trajan, Apollodorus of Damascus,  markets and column",brick and concrete (architecture); marble (column),"Rome, Italy   ",Imperial Roman,106 CE,https://i.ytimg.com/vi/y-IAOPxkNWo/maxresdefault.jpg
70,71,2,Pantheon,concrete with stone facing,"Rome, Italy",Imperial Roman,118 CE,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Pantheon_%28Rome%29_-_Right_side_and_front.jpg/800px-Pantheon_%28Rome%29_-_Right_side_and_front.jpg
71,72,3,Catacomb of Priscilla,excavated tufa and fresco,"Rome, Italy",Early Christian Europe,200 CE,https://upload.wikimedia.org/wikipedia/commons/thumb/9/90/Good_Shepherd_Catacomb_of_Priscilla.jpg/210px-Good_Shepherd_Catacomb_of_Priscilla.jpg
72,73,2,Ludovisi Battle Sarcophagus,marble,"Rome, Italy",Late Imperial Roman,250 CE,https://upload.wikimedia.org/wikipedia/commons/8/8a/Grande_Ludovisi_Altemps_Inv8574.jpg
73,74,0,"Basilica Nova, portrait of Constantine",marble,"Rome, Italy",Late Imperial Roman,306 CE,https://i.pinimg.com/originals/42/5c/bb/425cbb1c59069f93ac91355243a4d103.jpg
74,75,7,Buddha,cut rock with plaster and polychrome paint,"Bamiyan, Afghanistan",Gandharan,400 CE,https://www.biography.com/.image/t_share/MTY2Nzk2NDk1NjMzMjYyNTY5/gaudara-buddha-approx-3rd-century-bc-photo-by-eliot-elisofon_the-life-picture-collection-via-getty-images_getty-images.jpg
75,76,0,Old St. Peters church,"wood, stone construction","Rome, Italy",Early Christian Europe,319 CE,https://3.bp.blogspot.com/-rBqq3NI_mn4/WZomow36euI/AAAAAAAA9MA/d8SKtezo0mMyUo-HPeHCT-rXpV7mH-LFACLcBGAs/s1600/old-st_-peters.png
76,77,3,Santa Sabina,"brick and stone, wooden roof","Rome, Italy",Early Christian Europe,422 CE,https://upload.wikimedia.org/wikipedia/commons/f/f8/Rom%2C_Basilika_Santa_Sabina%2C_Au%C3%9Fenansicht.jpg
77,78,0,Mausoleum of Galla Placidia,"brick, mosaic work","Ravenna, Italy", Early Byzantine Europe,425 CE,https://www.italymagazine.com/sites/default/files/story/gallaplacidia.jpg
78,79,5,Mesa Verde cliff dwellings,sandstone,"Montezuma County, Colorado",Ancestral Puebloan,450 CE,https://cdn.kastatic.org/ka-perseus-images/12e0beac293f7baeac548b981e4203db273a8a27.jpg
79,80,8,Longmen caves,limestone,"Luoyang, China",Tang dynasty,493 CE,https://cdn.britannica.com/95/137495-050-822B684E/Group-Luoyang-stone-sculptures-Longmen-caves-China.jpg
80,81,8,Gold and jade crown,metalwork, Korea,"Three Kingdoms Period, Silla Kingdom",550 CE,https://cdn.kastatic.org/ka-perseus-images/3fec7bd2feca1771b8517897f2e60e42ebdd3cee.jpg
81,82,3,"Rebecca and Eliezer at the Well, Jacob Wrestling the Angel from the Vienna Genesis","illuminated manuscript (tempera, gold, and silver on purple velum)",Syria,Early Byzantine Europe,500 CE,https://cdn.kastatic.org/ka-perseus-images/db5d3d08cb473f155b15d39925fdc578ec669391.jpg
82,83,3,San Vitale,"brick, marble, and stone veneer; mosiac","Ravenna, Italy",Byzantine Europe,526 CE,https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Basilica_of_San_Vitale.jpg/1200px-Basilica_of_San_Vitale.jpg
83,84,3,"Hagia Sophia, Anthemius of Tralles and Isodorus of Miletus",brick and ceramic elements with stone and mosiac veneer,Constantinople (Istanbul),Byzantine,532 CE,https://d7hftxdivxxvm.cloudfront.net/?resize_to=fit&width=800&height=650&quality=80&src=https%3A%2F%2Fd32dm0rphc51dk.cloudfront.net%2FhPWNa_Kck1cJWuNj880P9A%2Fnormalized.jpg
84,85,3,Merovingian looped fibula,"silver gilt work in filigree, with inlays of garnet and other stones",Visogothic Spain,Medieval Europe,550 CE,https://sites.google.com/site/adairarthistory/_/rsrc/1547356430386/iii-early-europe-and-colonial-americas/53-merovingian-looped-fibulae/386da29e07daff6e0367389b1c3bdcffa1ee117e.jpg
85,86,3,Virgin (Theotokos) and Child between Saints Theodore and George,encaustic on wood,Egypt,Early Byzantine Europe,600 CE,https://smarthistory.org/wp-content/uploads/2021/10/TheotokosEncaustic.jpg
86,87,7,The Kaaba,"granite masonry, covered with silk curtain and calligraphy in gold and silver-wrapped thread","Mecca, Saudi Arabia",Islamic,631 CE,https://upload.wikimedia.org/wikipedia/commons/6/67/Kaaba_Masjid_Haraam_Makkah.jpg
87,88,7,"Jowo Rinpoche, enshrined in the Jokhang Temple","gilt metals with semiprecious stonnes, pearls, and paint; various offerings","Lhasa, Tibet",Yarlung Dynasty,641 CE,https://cdn.kastatic.org/ka-perseus-images/6dc6b88f0578fe1bcd2c6c1c5b0f81cf3716e7b3.jpg
88,89,7,Dome of the Rock,"stone masonry and wooden roof decorated with glazed ceramic tile, mosiacs, and gilg aluminum and bronze dome","Jerusalem, Palestine",Islamic,691 CE,https://cdn.britannica.com/93/84693-050-BBB16251/Dome-of-the-Rock-Jerusalem.jpg
89,90,7,Great Mosque of Isfahan,"stone, brick, wood, plaster, and glazed ceramic tile","Isfahan, Iran","Islamic, Persian,  Timurid and Safivid Dynasties",700 CE,https://ka-perseus-images.s3.amazonaws.com/ec15b0cee99a6728c5efd7412e7e368c7d969b12.jpg
90,91,7,Folio from a Qur'an,"ink, color, and gold on parchment","Arab, North Africa, or Near East",Abbasid dynasty,700 CE,https://smarthistory.org/wp-content/uploads/2022/01/MorganFolio-scaled.jpg
91,92,3,"Lindisfarne Gospels: St. Matthew, cross-carpet page, St. Luke portrait page; St. Luke incipit page","illuminated manuscript (ink, pigments, and gold on velum)","Northumbria, Englad",Early Medieval Europe (Hiberno Saxon),700 CE,https://sites.google.com/site/adairarthistory/_/rsrc/1487724176312/iii-early-europe-and-colonial-americas/55-lindisfarne-gospels-st-matthew-cross-carpet-page-st-luke-incipit-page/14f8accf5bed6f4ff3c76064c87b0a17128aacbd.jpg?height=261&width=320
92,93,9,Nan Madol,basalt boulders and prismatic columns,"Pohnpei, Micronesia", Saudeleur Dynasty,700 CE,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Nan_madol.jpg/1200px-Nan_madol.jpg
93,94,5,Yaxchilan,limestone,"Chiapas, Mexico",Maya,725 CE,https://upload.wikimedia.org/wikipedia/commons/5/56/Foto_en_la_Zona_Arqueol%C3%B3gica_de_Yaxchilan_01.jpg
94,95,8,Todai-ji,bronze and wood (sculpture); wood with ceramic-tile roofing (architecture),"Nara, Japan",Song dynasty,743 CE,https://www.japan-guide.com/g19/4100_11.jpg
95,96,3,Great Mosque at Cordoba,stone masonry,"Cordoba, Spain",Umayyad dynasty,785 CE,https://cdn.kastatic.org/googleusercontent/VKykDZejDUiBdClj1W7IpEKkBk65MlZ1yW0rq-rdas81WOfTtnqy9PX47-_sVcUNaBJLP3z1WDh0FuQSQ5Iqr95FYktf8WfBp4eZXfE
96,97,8,Borobudur Temple,volcanic-stone masonry,"Central Java, Indonesia",Sailendra dynasty,750 CE,https://lp-cms-production.imgix.net/2019-06/f4024c571e5e09ce5e4049bc181500b1-borobudur-temple.jpg?sharp=10&vib=20&w=1200&auto=compress&fit=crop&fm=auto&h=800
97,98,8,"Angkor, the temple of Angkor Wat and the city of Angkor Thom","stone masonry, sandstone  ",Cambodia,Angkor dynasty,800 CE,https://cdn.kastatic.org/ka-perseus-images/206e01cfbc1b9605649856c2d44cb9a507842daf.jpg
98,99,0,Book of Kells Page,tempera on vellum,Ireland,Celtic ,800 CE,https://upload.wikimedia.org/wikipedia/commons/b/b1/KellsFol032vChristEnthroned.jpg
99,100,8,Lakshmana Temple,sandstone,"Khajuraho, India.  Hindu",Chandella dynasty,930 CE,https://upload.wikimedia.org/wikipedia/commons/d/d5/Khajuraho-Lakshmana_temple.JPG
100,101,3,Pyxis of al-Mughira,ivory,Spain,Umayyad dynasty,968 CE,https://smarthistory.org/wp-content/uploads/2021/10/PyxFront.jpg
101,102,8,"Travelers among Mountains and Streams, Fan Kuan",ink and colors on silk,China,Northern Song dynasty,1000 CE,https://cdn.kastatic.org/ka-perseus-images/a200bf6c1fe1b5afce5b44c13a9635164daa82e4.jpg
102,103,8,Shiva as Lord of Dance (Nataraja),cast bronze,Hindu; India,Chola dynasty,1000 CE,https://images.metmuseum.org/CRDImages/as/original/DT240.jpg
103,104,6,Conical tower and circular wall of Great Zimbabwe,coursed granite blocks,Southeastern Zimbabwe,Shona peoples,1000 CE,https://sites.google.com/site/adairarthistory/_/rsrc/1539522696583/vi-africa/167-conical-tower-and-circular-wall-of-great-zimbabwe/Screen%20Shot%202018-10-14%20at%209.07.22%20AM.png?height=265&width=320
104,105,3,Bayeux Tapestry,embroidery on linen,"Bayeux, France",Romanesque Europe,1066 CE,https://upload.wikimedia.org/wikipedia/commons/9/9c/Odo_bayeux_tapestry.png
105,106,5,Great Serpent Mound,earthwork/effigy mound,"Adams County, southern Ohio",Mississippian,1070 CE,https://www.history.com/.image/t_share/MTU3ODc5MDg3MjQyNzQ5MjU3/serpent-mound.jpg
106,107,9,Moai on platform (ahu),volcanic tuff figures on basalt base,Easter Island,Rapa Nui peoples,1100 CE,https://assets.sutori.com/user-uploads/image/50e7c9d0-8fed-4f72-b528-9945268c5594/67195730aebd57916822659ace0eb23a.jpeg
107,108,3,Church of Sainte-Foy and reliquary,"stone (architecture); stone and paint (tympanum); gold, silver, gemstones and enamel over wood (reliquary)","Conques, France",Romanesque Europe,1130 CE,https://sites.google.com/site/adairarthistory/_/rsrc/1487202744980/iii-early-europe-and-colonial-americas/58-church-of-sainte-foy-and-reliquary/f2d2ad8f9a354c98d773fc44a744d552e6247e86.jpg
108,109,0,St. Denis,"stone, stained glass","Paris, France",French Gothic,1140 CE,https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Saint-Denis_-_Fa%C3%A7ade.jpg/220px-Saint-Denis_-_Fa%C3%A7ade.jpg
109,110,3,Chartres Cathedral,"limestone, stained glass","Chartres, France",French Gothic,1145 CE,https://upload.wikimedia.org/wikipedia/commons/2/28/Notre_Dame_de_Chartres.jpg
110,111,0,Notre Dame Cathedral,"stone, stained glass","Paris, France",French Gothic,1163 CE,https://cdn.britannica.com/35/155335-050-D0C61BB7/Notre-Dame-de-Paris-France.jpg
111,112,3,"Dedication Page with Blanche of Castile and King Louis IX of France, Scenes from the Apocalypse from Bibles moralisees","Illuminated manuscript (ink, tempera, and gold leaf on vellum)","Paris, France",Gothic Europe,1194 CE,https://cdn.kastatic.org/ka-perseus-images/92c93b62a9028b83eca774afed2481d0813dc783.jpg
112,113,6,Great mosqe of Djenne,adobe,Mali,Sudano-Sahelian people,1200 CE,https://upload.wikimedia.org/wikipedia/commons/7/75/Djenne_great_mud_mosque.jpg
113,114,8,Night Attack on the Sanjo Palace,handscroll (ink and color on paper_,Japan,Kamakura Period,1250 CE,https://cdn.kastatic.org/ka-perseus-images/795a666dea27a6eb2346fb273562cbaf423bf920.jpg
114,115,0,"Palazzo Pubblico, including frescoes, Siena","stone construction, fresco","Siena, Italy",Proto-Italian Renaissance,1288 CE,https://upload.wikimedia.org/wikipedia/commons/1/11/Ambrogio_Lorenzetti_-_Effects_of_Good_Government_in_the_city_-_Google_Art_Project.jpg
115,116,3,Rottgen Pieta,painted wood,"Bonn, Germany",German Gothic,1300 CE,https://cdn.kastatic.org/ka-perseus-images/1437baa6ac15d777c4740ecaccc807742f04193d.jpg
116,117,3,"Arena (Scrovegni) Chapel, incluing Lamentation.  Giotto di Bondone",brick (architecture) and fresco,"Padua, Italy",Proto-Italian Renaissance,1303 CE,https://sites.google.com/site/adairarthistory/_/rsrc/1487600389282/iii-early-europe-and-colonial-americas/63-arena-scrovegni-chapel-including-lamentation/maxresdefault-1.jpg?height=371&width=400
